genus,species,id,locality,nz_id,latitude,longitude,qual,day,month,year,collector,notes,elevation,code,misc
acanthoxyla,sp,acan-sp_19,"Little Barrier I, Flats",NZAC03000626,-36.215667,175.057933,g,8,Dec,2005,D Seldon,kanuka,,,
acanthoxyla,sp,acan-sp_20,"Little Barrier I, Awaroa Stm",NZAC03005504,-36.2252,175.078733,g,29,Nov,2006,T R Buckley D Seldon K Marske,ex Metrosideros perforata,,AXX58,
acanthoxyla,sp,acan-sp_21,"Great Barrier I, Little Windy Hill",NZAC03004781,-36.3,175.533333,g,14,Dec,2004,J Early,ex Metrosideros perforata,,AXX32,
acanthoxyla,sp,acan-sp_22,Nelson I. (Great Barrier I),NZAC04030806,-36.166767,175.29935,g,,June,1950,G W Ramsay,,,,
acanthoxyla,sp,acan-sp_23,"Coromandel, Kopu-Hikuai Rd, SH25A",NZAC03000677,-37.143133,175.65905,g,,Dec,2005,C Winks,ex Coprosma robusta,,AXX46,
acanthoxyla,sp,acan-sp_24,"Kopu-Hikuai, Coromandel summit carpark on East side",NZAC03005309,-37.147983,175.673333,g,12,Apr,1993,G W Ramsay,beaten from totara,,,
acanthoxyla,sp,acan-sp_25,"Mt Te Aroha, bottom of road",NZAC03000685,-37.520333,175.728167,g,3,Mar,2005,T R Buckley D Seldon,ex rimu,,AXX3,
acanthoxyla,sp,acan-sp_26,"Mangaotaki Gorge, Piopio",NZAC03005192,-38.415583,174.880283,g,8,June,1977,G W Ramsay,ex Metrosideros,,,
acanthoxyla,sp,acan-sp_27,"Cambridge, Maungakawa Scenic Reserve",NZAC03000716,-37.859833,175.530667,g,25,Feb,2007,T R Buckley R Hoare G Hall,,,AXX55,
acanthoxyla,sp,acan-sp_28,"Mount Karioi, Pirongia State forest Park",NZAC03005485,-37.853867,174.783467,g,10,Dec,2006,T R Buckley D Seldon R Hoare G Hall,beating Lophomyrtus bullata,,,
acanthoxyla,sp,acan-sp_29,Bridal Veil Falls,NZAC03000702,-37.907817,174.896767,g,10,Dec,2006,T R Buckley R Hoare G Hall D Seldon,ex Muehlenbeckia australis,,,
acanthoxyla,sp,acan-sp_30,"Mt Maungatautari, southern enclosure",NZAC03004784,-38.0544,175.562067,g,28,Feb,2005,N A Martin,,,AXX33,
acanthoxyla,sp,acan-sp_31,"Waenga Bush, Lottin Pt Rd",NZAC03006390,-37.56285,178.15225,g,3,Dec,2009,T R Buckley D Seldon R Hoare G Hall,ex Metrosideros sp.,,,
acanthoxyla,sp,acan-sp_32,"Te Koau, Hicks Bay",NZAC03006376,-37.599933,178.29955,g,4,Dec,2009,T R Buckley D Seldon R Hoare G Hall,beating Ripogonum scandens,,,
acanthoxyla,sp,acan-sp_33,"Lk Okataina, Trk off Lk Okataina Rd",NZAC03000725,-38.080133,176.421917,g,27,Mar,2006,T R Buckley D Seldon R Hoare,totara,,AXX62,
acanthoxyla,sp,acan-sp_34,Waiotuma Stm,NZAC04030794,-37.6105,177.9611,g,28,Jan,1993,R C Henderson,,,,
acanthoxyla,sp,acan-sp_35,"Te Pu, Mamaku",NZAC03005375,-37.98895,176.189417,g,6,Jan ,1930,,,,,
acanthoxyla,sp,acan-sp_36,"Pureora Lodge, Loop Track, Karamarama Stream",NZAC03005168,-38.473333,175.5683,g,24,Feb,2007,T R Buckley R Hoare G Hall,beating,,,
acanthoxyla,sp,acan-sp_37,"Pureora Forest, Caterpillar Tractor Track",NZAC03005514,-38.5145,175.570167,g,24,Feb,2007,T R Buckley R Hoare G Hall,ex blackberry,,AXX70,
acanthoxyla,sp,acan-sp_38,"Napier-Taupo Road, rest area",NZAC03000688,-39.003117,176.5538,g,23,Feb,2007,T R Buckley R Hoare G Hall,ex blackberry,,AXX98,
acanthoxyla,sp,acan-sp_39,"Tongariro Natl Pk, Tongariro, Lake Rotopounamu",NZAC03005517,-39.027367,175.7451,g,14,Feb,2007,T R Buckley R Hoare G Hall,ex manuka,,AXX64,
acanthoxyla,sp,acan-sp_40,"Ohakune Mountain Rd, Rimu Track",NZAC03000662,-39.393333,175.428333,g,16,Feb,2007,T R Buckley R Hoare G Hall,,,,
acanthoxyla,sp,acan-sp_41,"Rangataua, Rangataua Scenic Reserve",NZAC03000693,-39.42945,175.464517,g,17,Feb,2007,T R Buckley R Hoare G Hall,,,,
acanthoxyla,sp,acan-sp_42,"Mangaehuehu Scenic Res, SH49 roadside",NZAC03000712,-39.43895,175.45405,g,17,Feb,2007,T R Buckley R Hoare G Hall,ex Muehlenbeckia sp.,,,
acanthoxyla,sp,acan-sp_43,East Cape lighthouse Trk,NZAC03006409,-37.68985,178.547217,g,1,Dec,2009,T R Buckley D Seldon R Hoare G Hall,beating manuka/kanuka,,,
